"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"com.austinv11.bench.MapTests.concurrentHashMapGet","avgt",1,100,0.143604,0.001030,"ms/op"
"com.austinv11.bench.MapTests.concurrentHashMapPutRemove","avgt",1,100,0.155040,0.000898,"ms/op"
"com.austinv11.bench.MapTests.concurrentHashMapPutUpdate","avgt",1,100,0.156040,0.001102,"ms/op"
"com.austinv11.bench.MapTests.manualSnchronizedTLongObjectHashMapGet","avgt",1,100,0.062718,0.000190,"ms/op"
"com.austinv11.bench.MapTests.manualSnchronizedTLongObjectHashMapMapCopy","avgt",1,100,0.067770,0.000289,"ms/op"
"com.austinv11.bench.MapTests.manualSnchronizedTLongObjectHashMapPutRemove","avgt",1,100,0.087309,0.000945,"ms/op"
"com.austinv11.bench.MapTests.manualSnchronizedTLongObjectHashMapUpdate","avgt",1,100,0.053026,0.000317,"ms/op"
"com.austinv11.bench.MapTests.manualSynchronizedLongObjectHashMapCopy","avgt",1,100,0.042522,0.000070,"ms/op"
"com.austinv11.bench.MapTests.manualSynchronizedLongObjectHashMapGet","avgt",1,100,0.074417,0.000261,"ms/op"
"com.austinv11.bench.MapTests.manualSynchronizedLongObjectHashMapPutRemove","avgt",1,100,0.044700,0.000169,"ms/op"
"com.austinv11.bench.MapTests.manualSynchronizedLongObjectHashMapPutUpdate","avgt",1,100,0.031578,0.000030,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashLongObjMapGet","avgt",1,100,0.063633,0.000211,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashLongObjMapMapCopy","avgt",1,100,0.048682,0.000041,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashLongObjMapPutRemove","avgt",1,100,0.058706,0.000293,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashLongObjMapUpdate","avgt",1,100,0.052314,0.000098,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashLongObjectMapGet","avgt",1,100,0.073663,0.000231,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashLongObjectMapMapCopy","avgt",1,100,0.086279,0.000156,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashLongObjectMapPutRemove","avgt",1,100,0.072368,0.000116,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashLongObjectMapUpdate","avgt",1,100,0.064346,0.000203,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashMapCopy","avgt",1,100,0.051513,0.000138,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashMapGet","avgt",1,100,0.056271,0.000377,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashMapPutRemove","avgt",1,100,0.045713,0.000375,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashMapPutUpdate","avgt",1,100,0.047037,0.000129,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectArrayMapCopy","avgt",1,100,0.490591,0.002851,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectArrayMapGet","avgt",1,100,1.343665,0.025947,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectArrayMapPutRemove","avgt",1,100,1.454747,0.003002,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectArrayMapPutUpdate","avgt",1,100,1.057119,0.015717,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectHashMapCopy","avgt",1,100,0.058014,0.000360,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectHashMapPutRemove","avgt",1,100,1.257803,0.010514,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectHashMapPutUpdate","avgt",1,100,0.036492,0.000145,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectOpenHashMapCopy","avgt",1,100,0.047351,0.000090,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectOpenHashMapGet","avgt",1,100,0.062013,0.000139,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectOpenHashMapPutRemove","avgt",1,100,0.089985,0.001396,"ms/op"
