"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"com.austinv11.bench.MapTests.concurrentHashMapGet","avgt",1,100,0.111581,0.001162,"ms/op"
"com.austinv11.bench.MapTests.concurrentHashMapPutRemove","avgt",1,100,0.113361,0.001229,"ms/op"
"com.austinv11.bench.MapTests.concurrentHashMapPutUpdate","avgt",1,100,0.110641,0.000609,"ms/op"
"com.austinv11.bench.MapTests.manualSnchronizedTLongObjectHashMapGet","avgt",1,100,0.056493,0.000492,"ms/op"
"com.austinv11.bench.MapTests.manualSnchronizedTLongObjectHashMapMapCopy","avgt",1,100,0.051504,0.000495,"ms/op"
"com.austinv11.bench.MapTests.manualSnchronizedTLongObjectHashMapPutRemove","avgt",1,100,0.063395,0.001251,"ms/op"
"com.austinv11.bench.MapTests.manualSnchronizedTLongObjectHashMapUpdate","avgt",1,100,0.041399,0.000770,"ms/op"
"com.austinv11.bench.MapTests.manualSynchronizedLongObjectHashMapCopy","avgt",1,100,0.029094,0.000561,"ms/op"
"com.austinv11.bench.MapTests.manualSynchronizedLongObjectHashMapGet","avgt",1,100,0.059975,0.000511,"ms/op"
"com.austinv11.bench.MapTests.manualSynchronizedLongObjectHashMapPutRemove","avgt",1,100,0.028426,0.000767,"ms/op"
"com.austinv11.bench.MapTests.manualSynchronizedLongObjectHashMapPutUpdate","avgt",1,100,0.024800,0.000582,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashLongObjMapGet","avgt",1,100,0.046310,0.001568,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashLongObjMapMapCopy","avgt",1,100,0.023756,0.000777,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashLongObjMapPutRemove","avgt",1,100,0.030087,0.001328,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashLongObjMapUpdate","avgt",1,100,0.027117,0.001219,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashLongObjectMapGet","avgt",1,100,0.080868,0.001219,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashLongObjectMapMapCopy","avgt",1,100,0.082008,0.000507,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashLongObjectMapPutRemove","avgt",1,100,0.077161,0.001645,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashLongObjectMapUpdate","avgt",1,100,0.063628,0.001389,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashMapCopy","avgt",1,100,0.035622,0.000517,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashMapGet","avgt",1,100,0.041164,0.000229,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashMapPutRemove","avgt",1,100,0.026337,0.000584,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashMapPutUpdate","avgt",1,100,0.031893,0.000711,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectArrayMapCopy","avgt",1,100,0.396833,0.004559,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectArrayMapGet","avgt",1,100,1.009432,0.017647,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectArrayMapPutRemove","avgt",1,100,0.800608,0.009280,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectArrayMapPutUpdate","avgt",1,100,0.857545,0.011279,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectHashMapCopy","avgt",1,100,0.038982,0.000639,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectHashMapPutRemove","avgt",1,100,1.132422,0.012125,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectHashMapPutUpdate","avgt",1,100,0.024517,0.000643,"ms/op"
